"","player_name","player_api_id","overall_rating","gk_rating","numofappearences","numofleagues"
"1","Aaron Appindangoye",505942,67,43,8,1
"2","Aaron Cresswell",155782,74,51,75,1
"3","Aaron Doran",162549,65,61,100,1
"4","Aaron Galindo",30572,69,63,10,1
"5","Aaron Hughes",23780,70,53,162,1
"6","Aaron Hunt",27316,77,65,154,1
"7","Aaron Kuhl",564793,61,64,5,1
"8","Aaron Lennon",30895,77,55,181,1
"9","Aaron Lennox",528212,48,237,1,1
"10","Aaron Meijers",101042,69,54,164,1
"11","Aaron Mokoena",23889,68,51,30,1
"12","Aaron Mooy",231592,75,54,9,1
"13","Aaron Muirhead",163222,62,38,21,1
"14","Aaron Niguez",40719,70,61,27,2
"15","Aaron Ramsey",75489,82,40,133,1
"16","Aaron Splaine",597948,55,55,2,1
"17","Aaron Taylor-Sinclair",161644,64,49,36,1
"18","Aaron Wilbraham",23499,65,54,2,1
"19","Aatif Chahechouhe",120919,75,50,1,1
"20","Abasse Ba",46447,64,64,16,1
"21","Abdelaziz Barrada",167027,74,47,75,2
"22","Abdelfettah Boukhriss",245653,64,51,1,1
"23","Abdelhamid El Kaoutari",128456,73,47,144,2
"24","Abdelkader Ghezzal",42664,67,40,80,2
"25","Abdellah Zoubir",425950,59,62,3,1
"26","Abdelmajid Oulmers",38423,68,129,32,1
"27","Abdelmalek Cherrad",3264,62,49,1,1
"28","Abdelmalek El Hasnaoui",467485,63,52,5,1
"29","Abdelouahed Chakhsi",306735,56,46,74,1
"30","Abderrazak Jadid",41659,63,59,26,2
"31","Abdeslam Ouaddou",31684,73,145,43,1
"32","Abdessalam Benjelloun",32637,61,102,8,2
"33","Abdou Diallo",563215,66,41,28,2
"34","Abdou Traore",41093,70,57,59,1
"35","Abdoul Ba",564712,64,60,4,1
"36","Abdoul Karim Yoda",67334,72,58,52,2
"37","Abdoul Razzagui Camara",173955,72,68,38,1
"38","Abdoulay Konko",39562,75,62,137,2
"39","Abdoulaye Ba",191784,73,65,58,2
"40","Abdoulaye Bamba",210400,69,50,21,1
"41","Abdoulaye Diaby",201915,73,50,28,1
"42","Abdoulaye Diallo Sadio,22",194479,73,57,40,1
"43","Abdoulaye Diallo",189181,69,341,9,1
"44","Abdoulaye Doucoure",352887,73,68,70,2
"45","Abdoulaye Faye",40005,67,55,81,1
"46","Abdoulaye Keita",409003,60,54,3,1
"47","Abdoulaye Meite",37280,65,54,53,2
