"","team_api_id","team_long_name","team_short_name","buildupattributes","chancecreationattributes","defenseattributes","goals"
"1",9987,"KRC Genk","GEN",148,155,163,348
"2",9993,"Beerschot AC","BAC",NA,151,158,174
"3",10000,"SV Zulte-Waregem","ZUL",147,131,139,306
"4",9994,"Sporting Lokeren","LOK",159,154,149,279
"5",9984,"KSV Cercle Brugge","CEB",145,152,168,213
"6",8635,"RSC Anderlecht","AND",149,160,164,427
"7",9991,"KAA Gent","GEN",142,142,155,390
"8",9998,"RAEC Mons","MON",160,168,138,129
"9",9985,"Standard de Liège","STL",161,173,151,341
"10",8203,"KV Mechelen","MEC",134,150,145,285
"11",8342,"Club Brugge KV","CLB",139,146,158,421
"12",9999,"KSV Roeselare","ROS",NA,125,205,62
"13",8571,"KV Kortrijk","KOR",129,134,143,267
"14",9996,"Royal Excel Mouscron","MOU",150,150,140,42
"15",10001,"KVC Westerlo","WES",148,144,146,217
"16",9986,"Sporting Charleroi","CHA",160,146,136,201
"17",9997,"Sint-Truidense VV","STT",NA,154,113,115
"18",9989,"Lierse SK","LIE",171,169,152,113
"19",6351,"KAS Eupen","EUP",NA,160,155,28
"20",1773,"Oud-Heverlee Leuven","O-H",153,157,137,126
"21",8475,"Waasland-Beveren","WAA",132,140,94,105
"22",8573,"KV Oostende","OOS",155,140,133,102
"23",274581,"Royal Excel Mouscron","MOP",150,150,140,71
"24",10260,"Manchester United","MUN",124,133,163,582
"25",10261,"Newcastle United","NEW",152,147,131,324
"26",9825,"Arsenal","ARS",140,118,147,573
"27",8659,"West Bromwich Albion","WBA",145,163,130,305
"28",8472,"Sunderland","SUN",137,164,141,333
"29",8650,"Liverpool","LIV",171,114,164,531
"30",8654,"West Ham United","WHU",171,170,108,326
"31",8528,"Wigan Athletic","WIG",144,151,154,200
"32",10252,"Aston Villa","AVL",154,146,133,335
"33",8456,"Manchester City","MCI",123,98,149,606
"34",8668,"Everton","EVE",128,135,169,439
"35",8655,"Blackburn Rovers","BLB",185,159,157,175
"36",8549,"Middlesbrough","MID",138,135,122,28
"37",8586,"Tottenham Hotspur","TOT",133,145,173,481
"38",8559,"Bolton Wanderers","BOL",152,170,145,181
"39",10194,"Stoke City","STK",138,159,132,322
"40",8667,"Hull City","HUL",151,159,121,144
"41",9879,"Fulham","FUL",134,152,98,265
"42",8455,"Chelsea","CHE",144,119,126,583
"43",8462,"Portsmouth","POR",148,149,123,72
"44",8658,"Birmingham City","BIR",163,203,143,75
"45",8602,"Wolverhampton Wanderers","WOL",136,150,150,118
"46",8191,"Burnley","BUR",153,176,183,70
"47",8483,"Blackpool","BLA",162,166,131,55
"48",10003,"Swansea City","SWA",131,125,120,233
"49",10172,"Queens Park Rangers","QPR",130,166,148,115
"50",9850,"Norwich City","NOR",138,147,128,160
"51",8466,"Southampton","SOU",129,126,159,216
